中央电视,#genre#,
云南卫视,http://124.90.45.52:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.5s
吉林卫视,http://124.90.45.52:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0,0.5s
青海卫视,http://124.90.45.52:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,0.5s
陕西卫视,http://124.90.45.52:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0,0.5s
河南卫视,http://124.90.45.52:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0,0.5s
广西卫视,http://124.90.45.52:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0,0.5s
东方卫视,http://222.134.19.49:8090/651632648,0.5s
东南卫视,http://222.134.19.49:8090/849116810,0.5s
宁夏卫视,http://222.134.19.49:8090/738910535,0.5s
广东卫视,http://116.147.106.102:1234/608831231,0.5s
湖北卫视,http://116.147.106.102:1234/947472496,0.5s
东方卫视,http://116.147.106.102:1234/651632648,0.5s
东南卫视,http://116.147.106.102:1234/849116810,0.5s
海南卫视,http://116.147.106.102:1234/947472502,0.5s
河北卫视,http://116.147.106.102:1234/962042070,0.5s
河南卫视,http://47.103.208.165:1234/790187291,0.5s
河南卫视,http://116.147.106.102:1234/790187291,0.5s
江苏卫视,http://47.103.208.165:1234/623899368,0.5s
江西卫视,http://116.147.106.102:1234/783847495,0.5s
辽宁卫视,http://47.103.208.165:1234/630291707,0.5s
陕西卫视,http://116.147.106.102:1234/738910838,0.5s
大湾区卫视,http://116.147.106.102:1234/608917627,0.5s
湖南卫视,http://222.142.93.132:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
浙江卫视,http://222.142.93.132:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
浙江卫视,http://183.162.120.192:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
东方卫视,http://125.42.150.8:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
广东卫视,http://183.162.120.192:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
广东卫视,http://222.142.93.132:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
广东卫视,http://183.162.120.192:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
广东卫视,http://101.66.199.253:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0,0.51s
东南卫视,http://183.162.120.192:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
东南卫视,http://125.42.150.8:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
河北卫视,http://218.13.170.98:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
河南卫视,http://222.142.93.132:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
河南卫视,http://125.42.151.164:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
河南卫视,http://183.162.120.192:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
湖北卫视,http://218.13.170.98:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
湖北卫视,http://222.142.93.132:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
江西卫视,http://183.162.120.192:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
江西卫视,http://218.13.170.98:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
四川卫视,http://183.162.120.192:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
安徽卫视,http://101.66.199.65:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0,0.51s
安徽卫视,http://183.162.120.192:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
安徽卫视,http://218.13.170.98:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
黑龙江卫视,http://101.66.199.253:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0,0.51s
吉林卫视,http://218.13.170.98:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
宁夏卫视,http://120.196.235.42:9901/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
陕西卫视,http://222.142.93.132:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
陕西卫视,http://183.162.120.192:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
甘肃卫视,http://183.162.120.192:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
甘肃卫视,http://218.13.170.98:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
新疆卫视,http://218.13.170.98:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
西藏卫视,http://218.13.170.98:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
兵团卫视,http://222.142.93.132:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
广东大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8,0.51s
河北卫视,http://bztv.tvbus.cc:8081/cdnlive/hews.m3u8,0.51s
江苏卫视,http://124.90.45.52:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
河北卫视,http://124.90.45.52:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
山东卫视,http://124.90.45.52:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
湖北卫视,http://124.90.45.52:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
山西卫视,http://124.90.45.52:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0,0.51s
广东卫视,http://222.134.19.49:8090/608831231,0.51s
河北卫视,http://222.134.19.49:8090/962042070,0.51s
辽宁卫视,http://222.134.19.49:8090/630291707,0.51s
江西卫视,http://222.134.19.49:8090/783847495,0.51s
河南卫视,http://222.134.19.49:8090/790187291,0.51s
吉林卫视,http://222.134.19.49:8090/947472500,0.51s
湖北卫视,http://222.134.19.49:8090/947472496,0.51s
青海卫视,http://222.134.19.49:8090/947472506,0.51s
海峡卫视,http://222.134.19.49:8090/849119120,0.51s
中国农林卫视,http://222.134.19.49:8090/956904896,0.51s
兵团卫视,http://222.134.19.49:8090/956923145,0.51s
江苏卫视,http://116.147.106.102:1234/623899368,0.51s
江西卫视,http://219.140.5.55:1234/783847495,0.51s
宁夏卫视,http://116.147.106.102:1234/738910535,0.51s
宁夏卫视,http://223.83.177.142:1234/738910535,0.51s
青海卫视,http://116.147.106.102:1234/947472506,0.51s
三沙卫视,http://116.147.106.102:1234/961023778,0.51s
浙江卫视,http://218.13.170.98:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
江苏卫视,http://222.142.93.132:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
东方卫视,http://218.13.170.98:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
深圳卫视,http://218.13.170.98:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
深圳卫视,http://222.142.93.132:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
深圳卫视,http://183.162.120.192:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
广东卫视,http://101.66.199.252:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0,0.52s
东南卫视,http://125.42.151.164:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
海南卫视,http://183.162.120.192:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
海南卫视,http://183.162.120.192:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
河北卫视,http://183.162.120.192:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
河南卫视,http://125.42.150.8:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
湖北卫视,http://101.66.199.253:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0,0.52s
贵州卫视,http://218.13.170.98:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
贵州卫视,http://222.142.93.132:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
贵州卫视,http://183.162.120.192:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
云南卫视,http://101.66.199.65:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0,0.52s
安徽卫视,http://222.142.93.132:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
黑龙江卫视,http://218.13.170.98:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
黑龙江卫视,http://222.142.93.132:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
黑龙江卫视,http://183.162.120.192:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
吉林卫视,http://222.142.93.132:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
吉林卫视,http://101.66.199.252:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0,0.52s
内蒙古卫视,http://120.196.235.42:9901/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
山西卫视,http://120.196.235.42:9901/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
青海卫视,http://222.142.93.132:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
西藏卫视,http://222.142.93.132:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
西藏卫视,http://120.196.235.42:9901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
山东教育卫视,http://222.142.93.132:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0,0.52s
江苏卫视,http://222.134.19.49:8090/623899368,0.52s
大湾区卫视,http://222.134.19.49:8090/608917627,0.52s
海南卫视,http://222.134.19.49:8090/947472502,0.52s
广东卫视,http://219.140.5.55:1234/608831231,0.52s
广东卫视,http://223.83.177.142:1234/608831231,0.52s
湖北卫视,http://223.83.177.142:1234/947472496,0.52s
黑龙江卫视,http://223.83.177.142:1234/738906901,0.52s
东方卫视,http://223.83.177.142:1234/651632648,0.52s
东南卫视,http://223.83.177.142:1234/849116810,0.52s
海南卫视,http://223.83.177.142:1234/947472502,0.52s
河北卫视,http://223.83.177.142:1234/962042070,0.52s
河北卫视,http://219.140.5.55:1234/962042070,0.52s
河南卫视,http://223.83.177.142:1234/790187291,0.52s
吉林卫视,http://223.83.177.142:1234/947472500,0.52s
江西卫视,http://223.83.177.142:1234/783847495,0.52s
辽宁卫视,http://223.83.177.142:1234/630291707,0.52s
青海卫视,http://219.140.5.55:1234/947472506,0.52s
陕西卫视,http://223.83.177.142:1234/738910838,0.52s
三沙卫视,http://223.83.177.142:1234/961023778,0.52s
大湾区卫视,http://223.83.177.142:1234/608917627,0.52s
浙江卫视,http://183.162.120.192:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.53s
广东卫视,http://218.13.170.98:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0,0.53s
东南卫视,http://183.162.120.192:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.53s
河南卫视,http://101.66.199.253:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0,0.53s
四川卫视,http://218.13.170.98:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0,0.53s
辽宁卫视,http://101.66.199.65:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0,0.53s
辽宁卫视,http://222.142.93.132:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0,0.53s
山西卫视,http://183.162.120.192:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0,0.53s
陕西卫视,http://120.196.235.42:9901/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0,0.53s
三沙卫视,http://106.115.27.83:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0,0.53s
甘肃卫视,http://bztv.tvbus.cc:8081/cdnlive/gsws.m3u8,0.53s
广西卫视,http://bztv.tvbus.cc:8081/cdnlive/gxws.m3u8,0.53s
湖北卫视,http://bztv.tvbus.cc:8081/cdnlive/hbws.m3u8,0.53s
云南卫视,http://bztv.tvbus.cc:8081/cdnlive/ynws.m3u8,0.53s
陕西卫视,http://222.134.19.49:8090/738910838,0.53s
三沙卫视,http://222.134.19.49:8090/961023778,0.53s
东南卫视,http://43.226.36.47:7788/849116810,0.53s
江苏卫视,http://223.83.177.142:1234/623899368,0.53s
湖南卫视,http://183.162.120.192:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
江苏卫视,http://183.162.120.192:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
东方卫视,http://183.162.120.192:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
广西卫视,http://101.66.199.65:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0,0.54s
东南卫视,http://101.66.199.65:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0,0.54s
东南卫视,http://182.207.218.233:999/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
河南卫视,http://183.162.120.192:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
贵州卫视,http://101.66.199.253:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0,0.54s
云南卫视,http://183.162.120.192:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
云南卫视,http://101.66.199.253:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0,0.54s
山东卫视,http://183.162.120.192:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
山东卫视,http://101.66.199.65:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0,0.54s
辽宁卫视,http://183.162.120.192:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
黑龙江卫视,http://106.115.27.83:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
陕西卫视,http://183.162.120.192:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
青海卫视,http://182.207.218.233:999/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,0.54s
安徽卫视,http://bztv.tvbus.cc:8081/cdnlive/ahws.m3u8,0.54s
东方卫视,http://bztv.tvbus.cc:8081/cdnlive/dfws.m3u8,0.54s
东南卫视,http://bztv.tvbus.cc:8081/cdnlive/dnws.m3u8,0.54s
东方卫视,http://219.140.5.55:1234/651632648,0.54s
东南卫视,http://219.140.5.55:1234/849116810,0.54s
辽宁卫视,http://219.140.5.55:1234/630291707,0.54s
青海卫视,http://47.103.208.165:1234/947472506,0.54s
陕西卫视,http://219.140.5.55:1234/738910838,0.54s
三沙卫视,http://219.140.5.55:1234/961023778,0.54s
江苏卫视,http://182.207.218.233:999/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
深圳卫视,http://183.162.120.192:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
深圳卫视,http://182.207.218.233:999/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
海南卫视,http://218.13.170.98:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
河南卫视,http://101.66.199.65:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0,0.55s
贵州卫视,http://106.115.27.83:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
安徽卫视,http://106.115.27.83:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
内蒙古卫视,http://182.207.218.233:999/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
山西卫视,http://106.115.27.83:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
青海卫视,http://106.115.27.83:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
西藏卫视,http://182.207.218.233:999/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
山东教育卫视,http://106.115.27.83:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0,0.55s
湖北卫视,http://219.140.5.55:1234/947472496,0.55s
东方卫视,http://43.226.36.47:7788/651632648,0.55s
海南卫视,http://219.140.5.55:1234/947472502,0.55s
吉林卫视,http://43.226.36.47:7788/947472500,0.55s
宁夏卫视,http://219.140.5.55:1234/738910535,0.55s
青海卫视,http://43.226.36.47:7788/947472506,0.55s
广东卫视,http://43.226.36.47:7788/608831231,0.55s
广东卫视,http://219.140.5.55:1234/608831231,0.55s
大湾区卫视,http://219.140.5.55:1234/608917627,0.55s
江苏卫视,http://183.162.120.192:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
东方卫视,http://183.162.120.192:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
广东卫视,http://122.224.58.42:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
河北卫视,http://101.66.199.253:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0,0.56s
江西卫视,http://183.162.120.192:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
贵州卫视,http://122.224.58.42:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
云南卫视,http://106.115.27.83:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
云南卫视,http://182.207.218.233:999/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
安徽卫视,http://182.207.218.233:999/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
山东卫视,http://183.162.120.192:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
辽宁卫视,http://183.162.120.192:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
黑龙江卫视,http://183.162.120.192:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
吉林卫视,http://106.115.27.83:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
宁夏卫视,http://182.207.218.233:999/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
陕西卫视,http://182.207.218.233:999/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0,0.56s
广西卫视,http://101.66.199.253:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0,0.57s
河北卫视,http://183.162.120.192:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0,0.57s
江西卫视,http://182.207.218.233:999/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,0.57s
云南卫视,http://122.224.58.42:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0,0.57s
辽宁卫视,http://106.115.27.83:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0,0.57s
黑龙江卫视,http://182.207.218.233:999/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,0.57s
广东卫视,http://bztv.tvbus.cc:8081/cdnlive/gdws.m3u8,0.57s
浙江卫视,http://bztv.tvbus.cc:8081/cdnlive/zjws.m3u8,0.57s
黑龙江卫视,http://219.140.5.55:1234/738906901,0.57s
陕西卫视,http://43.226.36.47:7788/738910838,0.57s
广东卫视,http://223.83.177.142:1234/608831231,0.57s
河南卫视,http://182.207.218.233:999/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.58s
四川卫视,http://183.162.120.192:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.58s
云南卫视,http://183.162.120.192:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0,0.58s
兵团卫视,http://182.207.218.233:999/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.58s
河北卫视,http://43.226.36.47:7788/962042070,0.58s
河南卫视,http://43.226.36.47:7788/790187291,0.58s
辽宁卫视,http://43.226.36.47:7788/630291707,0.58s
三沙卫视,http://43.226.36.47:7788/961023778,0.58s
湖南卫视,http://122.224.58.42:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
湖南卫视,http://182.207.218.233:999/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
浙江卫视,http://182.207.218.233:999/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
海南卫视,http://122.224.58.42:85/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
湖北卫视,http://101.66.199.65:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0,0.59s
贵州卫视,http://182.207.218.233:999/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
吉林卫视,http://182.207.218.233:999/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
宁夏卫视,http://106.115.27.83:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
甘肃卫视,http://106.115.27.83:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
延边卫视,http://182.207.218.233:999/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0,0.59s
广东卫视,http://43.226.36.47:7788/608831231,0.59s
江苏卫视,http://43.226.36.47:7788/623899368,0.59s
宁夏卫视,http://43.226.36.47:7788/738910535,0.59s
大湾区卫视,http://43.226.36.47:7788/608917627,0.59s
广西卫视,http://182.207.218.233:999/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0,0.6s
海南卫视,http://182.207.218.233:999/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0,0.6s
河北卫视,http://182.207.218.233:999/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0,0.6s
四川卫视,http://182.207.218.233:999/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.6s
黑龙江卫视,http://101.66.199.252:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0,0.6s
山西卫视,http://182.207.218.233:999/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0,0.6s
湖北卫视,http://43.226.36.47:7788/947472496,0.6s
海南卫视,http://43.226.36.47:7788/947472502,0.6s
江西卫视,http://43.226.36.47:7788/783847495,0.6s
广东卫视,http://182.207.218.233:999/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0,0.61s
山东卫视,http://182.207.218.233:999/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0,0.61s
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0,0.61s
甘肃卫视,http://182.207.218.233:999/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0,0.61s
深圳卫视,http://122.224.58.42:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.62s
四川卫视,http://101.66.199.253:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0,0.62s
新疆卫视,http://182.207.218.233:999/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0,0.62s
湖北卫视,http://182.207.218.233:999/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.63s
江西卫视,http://122.224.58.42:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,0.63s
山东卫视,http://122.224.58.42:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0,0.63s
江西卫视,http://101.66.199.65:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0,0.64s
黑龙江卫视,http://43.226.36.47:7788/738906901,0.64s
贵州卫视,http://204.12.221.218:8181/3m1080p/gzws.m3u8,0.64s
贵州卫视,http://101.66.199.65:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0,0.65s
黑龙江卫视,http://122.224.58.42:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,0.65s
辽宁卫视,http://204.12.221.218:8181/3m1080p/lnws.m3u8,0.65s
广西卫视,http://101.66.199.252:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0,0.68s
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0,0.68s
山东卫视,http://61.136.172.236:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0,0.68s
青海卫视,http://223.83.177.142:1234/947472506,0.68s
安徽卫视,http://101.66.199.252:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0,0.69s
辽宁卫视,http://101.66.199.252:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0,0.69s
四川卫视,http://61.136.172.236:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0,0.71s
山东卫视,http://101.66.199.252:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0,0.71s
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0,0.71s
陕西卫视,http://122.224.58.42:85/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0,0.73s
湖北卫视,http://61.136.172.236:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.74s
黑龙江卫视,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,0.74s
东方卫视,http://125.42.151.164:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0,0.75s
湖北卫视,http://106.115.27.83:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0,0.75s
兵团卫视,http://122.224.58.42:85/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0,0.75s
深圳卫视,http://61.136.172.236:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.76s
江西卫视,http://61.136.172.236:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,0.76s
大湾区卫视,http://bztv.tvbus.cc:8081/cdnlive/nfws.m3u8,0.76s
青海卫视,http://bztv.tvbus.cc:8081/cdnlive/qhws.m3u8,0.76s
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.77s
